"","Survived","Pclass","Sex","segmento_edad","FarePerson","nfamiliares"
"150",0,"2","male","40-49",13,2
"151",0,"2","male","50-59",12.53,2
"152",1,"1","female","20-29",33.3,3
"153",0,"3","male","50-59",8.05,2
"154",0,"3","male","40-49",14.5,4
"155",0,"3","male","30-39",7.31,2
"156",0,"1","male","50-59",61.38,3
"157",1,"3","female","10-19",7.73,2
"158",0,"3","male","20-29",8.05,2
"159",0,"3","male","30-39",8.66,2
"160",0,"3","male","0-9",9.94,10
"161",0,"3","male","40-49",16.1,3
"162",1,"2","female","30-39",15.75,2
"163",0,"3","male","20-29",7.78,2
"164",0,"3","male","10-19",8.66,2
"165",0,"3","male","0-9",6.61,7
"166",1,"3","male","0-9",6.84,4
"167",1,"1","female","30-39",27.5,3
"168",0,"3","female","40-49",4.65,7
"169",0,"1","male","30-39",25.92,2
"170",0,"3","male","20-29",8.07,2
"171",0,"1","male","60-69",33.5,2
"172",0,"3","male","0-9",5.82,7
"173",1,"3","female","0-9",3.71,4
"174",0,"3","male","20-29",7.92,2
"175",0,"1","male","50-59",30.7,2
"176",0,"3","male","10-19",7.85,4
"177",0,"3","male","0-9",6.37,6
"178",0,"1","female","40-49",28.71,2
"179",0,"2","male","20-29",13,2
"180",0,"3","male","30-39",0,2
"181",0,"3","female","20-29",9.94,10
"182",0,"2","male","30-39",15.05,2
"183",0,"3","male","0-9",7.85,8
"184",1,"2","male","0-9",19.5,5
"185",1,"3","female","0-9",22.02,4
"186",0,"1","male","30-39",50,2
"187",1,"3","female","30-39",7.75,3
"188",1,"1","male","40-49",26.55,2
"189",0,"3","male","30-39",7.75,4
"190",0,"3","male","30-39",7.9,2
"191",1,"2","female","30-39",13,2
"192",0,"2","male","10-19",13,2
"193",1,"3","female","10-19",7.85,3
"194",1,"2","male","0-9",8.67,4
"195",1,"1","female","40-49",27.72,2
"196",1,"1","female","50-59",73.26,2
"197",0,"3","male","30-39",7.75,2
"198",0,"3","male","40-49",8.4,3
"199",1,"3","female","20-29",7.75,2
"200",0,"2","female","20-29",13,2
"201",0,"3","male","20-29",9.5,2
"202",0,"3","male","30-39",9.94,10
"203",0,"3","male","30-39",6.5,2
"204",0,"3","male","40-49",7.22,2
"205",1,"3","male","10-19",8.05,2
"206",0,"3","female","0-9",5.23,3
"207",0,"3","male","30-39",7.92,3
"208",1,"3","male","20-29",9.39,2
"209",1,"3","female","10-19",7.75,2
"210",1,"1","male","30-39",31,2
"211",0,"3","male","20-29",7.05,2
"212",1,"2","female","30-39",21,2
"213",0,"3","male","20-29",7.25,2
"214",0,"2","male","20-29",13,2
"215",0,"3","male","30-39",7.75,3
"216",1,"1","female","30-39",37.76,3
"217",1,"3","female","20-29",7.92,2
"218",0,"2","male","40-49",13.5,3
"219",1,"1","female","30-39",76.29,2
"220",0,"2","male","20-29",10.5,2
"221",1,"3","male","10-19",8.05,2
"222",0,"2","male","20-29",13,2
"223",0,"3","male","50-59",8.05,2
"224",0,"3","male","30-39",7.9,2
"225",1,"1","male","30-39",45,3
"226",0,"3","male","20-29",9.35,2
"227",1,"2","male","10-19",10.5,2
"228",0,"3","male","20-29",7.25,2
"229",0,"2","male","10-19",13,2
"230",0,"3","female","20-29",6.37,6
"231",1,"1","female","30-39",41.74,3
"232",0,"3","male","20-29",7.78,2
"233",0,"2","male","50-59",13.5,2
"234",1,"3","female","0-9",7.85,8
"235",0,"2","male","20-29",10.5,2
"236",0,"3","female","20-29",7.55,2
"237",0,"2","male","40-49",26,3
"238",1,"2","female","0-9",8.75,4
"239",0,"2","male","10-19",10.5,2
"240",0,"2","male","30-39",12.28,2
"241",0,"3","female","20-29",7.23,3
"242",1,"3","female","20-29",7.75,3
"243",0,"2","male","20-29",10.5,2
"244",0,"3","male","20-29",7.12,2
"245",0,"3","male","20-29",7.22,2
"246",0,"1","male","40-49",45,4
"247",0,"3","female","20-29",7.78,2
"248",1,"2","female","20-29",7.25,4
"249",1,"1","male","30-39",26.28,4
"250",0,"2","male","50-59",13,3
"251",0,"3","male","30-39",7.25,2
"252",0,"3","female","20-29",5.23,4
"253",0,"1","male","60-69",26.55,2
"254",0,"3","male","20-29",8.05,3
"255",0,"3","female","40-49",10.11,4
"256",1,"3","female","20-29",15.25,4
"257",1,"1","female","30-39",79.2,2
"258",1,"1","female","20-29",28.83,2
"259",1,"1","female","30-39",170.78,2
"260",1,"2","female","40-49",13,3
"261",0,"3","male","30-39",7.75,2
"262",1,"3","male","0-9",7.85,8
"263",0,"1","male","50-59",26.55,4
"264",0,"1","male","30-39",0,2
"265",0,"3","female","20-29",7.75,2
"266",0,"2","male","30-39",10.5,2
"267",0,"3","male","10-19",6.61,7
"268",1,"3","male","20-29",7.78,3
"269",1,"1","female","50-59",51.15,3
"270",1,"1","female","30-39",45.21,2
"271",0,"1","male","30-39",15.5,2
"272",1,"3","male","20-29",0,2
"273",1,"2","female","40-49",9.75,3
"274",0,"1","male","30-39",29.7,3
"275",1,"3","female","20-29",7.75,2
"276",1,"1","female","60-69",25.99,3
"277",0,"3","female","40-49",7.75,2
"278",0,"2","male","30-39",0,2
"279",0,"3","male","0-9",5.82,7
"280",1,"3","female","30-39",10.12,4
"281",0,"3","male","60-69",7.75,2
"282",0,"3","male","20-29",7.85,2
"283",0,"3","male","10-19",9.5,2
"284",1,"3","male","10-19",8.05,2
"285",0,"1","male","30-39",26,2
"286",0,"3","male","30-39",8.66,2
"287",1,"3","male","20-29",9.5,2
"288",0,"3","male","20-29",7.9,2
"289",1,"2","male","40-49",13,2
"290",1,"3","female","20-29",7.75,2
"291",1,"1","female","20-29",39.42,2
"292",1,"1","female","10-19",45.54,3
"293",0,"2","male","30-39",12.88,2
"294",0,"3","female","20-29",8.85,2
"295",0,"3","male","20-29",7.9,2
"296",0,"1","male","30-39",27.72,2
"297",0,"3","male","20-29",7.23,2
"298",0,"1","female","0-9",37.89,5
"299",1,"1","male","30-39",30.5,2
"300",1,"1","female","40-49",123.76,3
"301",1,"3","female","20-29",7.75,2
"302",1,"3","male","30-39",11.62,4
"303",0,"3","male","10-19",0,2
"304",1,"2","female","20-29",12.35,2
"305",0,"3","male","30-39",8.05,2
"306",1,"1","male","0-9",37.89,5
"307",1,"1","female","20-29",27.72,2
"308",1,"1","female","10-19",54.45,3
"309",0,"2","male","20-29",12,3
"310",1,"1","female","20-29",28.46,2
"311",1,"1","female","20-29",41.58,2
"312",1,"1","female","10-19",131.19,6
"313",0,"2","female","20-29",26,4
"314",0,"3","male","20-29",7.9,2
"315",0,"2","male","40-49",8.75,4
"316",1,"3","female","20-29",7.85,2
"317",1,"2","female","20-29",13,3
"318",0,"2","male","50-59",14,2
"319",1,"1","female","30-39",82.43,4
"320",1,"1","female","30-39",67.25,4
"321",0,"3","male","20-29",7.25,2
"322",0,"3","male","20-29",7.9,2
"323",1,"2","female","20-29",12.35,2
"324",1,"2","female","20-29",14.5,4
"325",0,"3","male","30-39",9.94,10
"326",1,"1","female","30-39",45.21,2
"327",0,"3","male","60-69",6.24,2
"328",1,"2","female","30-39",13,2
"329",1,"3","female","30-39",6.84,4
"330",1,"1","female","10-19",28.99,3
"331",1,"3","female","20-29",11.62,4
"332",0,"1","male","40-49",28.5,2
"333",0,"1","male","30-39",51.15,3
"334",0,"3","male","10-19",9,4
"335",1,"1","female","30-39",66.83,3
"336",0,"3","male","30-39",7.9,2
"337",0,"1","male","20-29",33.3,3
"338",1,"1","female","40-49",67.25,2
"339",1,"3","male","40-49",8.05,2
"340",0,"1","male","40-49",35.5,2
"341",1,"2","male","0-9",8.67,4
"342",1,"1","female","20-29",65.75,7
"343",0,"2","male","20-29",13,2
"344",0,"2","male","20-29",13,2
"345",0,"2","male","30-39",13,2
"346",1,"2","female","20-29",13,2
"347",1,"2","female","30-39",13,2
"348",1,"3","female","30-39",16.1,3
"349",1,"3","male","0-9",7.95,4
"350",0,"3","male","40-49",8.66,2
"351",0,"3","male","20-29",9.22,2
"352",0,"1","male","30-39",35,2
"353",0,"3","male","10-19",7.23,4
"354",0,"3","male","20-29",8.9,3
"355",0,"3","male","30-39",7.22,2
"356",0,"3","male","20-29",9.5,2
"357",1,"1","female","20-29",27.5,3
"358",0,"2","female","30-39",13,2
"359",1,"3","female","20-29",7.88,2
"360",1,"3","female","20-29",7.88,2
"361",0,"3","male","30-39",4.65,7
"362",0,"2","male","20-29",27.72,3
"363",0,"3","female","40-49",7.23,3
"364",0,"3","male","30-39",7.05,2
"365",0,"3","male","30-39",7.75,3
"366",0,"3","male","20-29",7.25,2
"367",1,"1","female","50-59",75.25,3
"368",1,"3","female","30-39",7.23,2
"369",1,"3","female","20-29",7.75,2
"370",1,"1","female","20-29",34.65,2
"371",1,"1","male","20-29",55.44,3
"372",0,"3","male","10-19",6.5,3
"373",0,"3","male","10-19",8.05,2
"374",0,"1","male","20-29",45.21,2
"375",0,"3","female","0-9",5.27,6
"376",1,"1","female","30-39",41.09,3
"377",1,"3","female","20-29",7.25,2
"378",0,"1","male","20-29",211.5,4
"379",0,"3","male","10-19",4.01,2
"380",0,"3","male","10-19",7.78,2
"381",1,"1","female","40-49",56.88,2
"382",1,"3","female","0-9",7.87,4
"383",0,"3","male","30-39",7.92,2
"384",1,"1","female","30-39",26,3
"385",0,"3","male","30-39",7.9,2
"386",0,"2","male","10-19",14.7,2
"387",0,"3","male","0-9",7.82,9
"388",1,"2","female","30-39",13,2
"389",0,"3","male","30-39",7.73,2
"390",1,"2","female","10-19",12,2
"391",1,"1","male","30-39",30,5
"392",1,"3","male","20-29",7.8,2
"393",0,"3","male","20-29",7.92,4
"394",1,"1","female","20-29",37.76,3
"395",1,"3","female","20-29",8.35,4
"396",0,"3","male","20-29",7.8,2
"397",0,"3","female","30-39",7.85,2
"398",0,"2","male","40-49",13,2
"399",0,"2","male","20-29",10.5,2
"400",1,"2","female","20-29",12.65,2
"401",1,"3","male","30-39",7.92,2
"402",0,"3","male","20-29",8.05,2
"403",0,"3","female","20-29",9.82,3
"404",0,"3","male","20-29",7.92,3
"405",0,"3","female","10-19",8.66,2
"406",0,"2","male","30-39",21,3
"407",0,"3","male","50-59",7.75,2
"408",1,"2","male","0-9",6.25,4
"409",0,"3","male","20-29",7.78,2
"410",0,"3","female","20-29",6.37,6
"411",0,"3","male","30-39",7.9,2
"412",0,"3","male","30-39",6.86,2
"413",1,"1","female","30-39",45,3
"414",0,"2","male","30-39",0,2
"415",1,"3","male","40-49",7.92,2
"416",0,"3","female","30-39",8.05,2
"417",1,"2","female","30-39",32.5,4
"418",1,"2","female","10-19",13,4
"419",0,"2","male","20-29",13,2
"420",0,"3","female","0-9",8.05,4
"421",0,"3","male","30-39",7.9,2
"422",0,"3","male","20-29",7.73,2
"423",0,"3","male","20-29",7.88,2
"424",0,"3","female","20-29",7.2,4
"425",0,"3","male","10-19",10.11,4
"426",0,"3","male","30-39",7.25,2
"427",1,"2","female","20-29",26,3
"428",1,"2","female","10-19",13,2
"429",0,"3","male","30-39",7.75,2
"430",1,"3","male","30-39",8.05,2
"431",1,"1","male","20-29",26.55,2
"432",1,"3","female","30-39",8.05,3
"433",1,"2","female","40-49",26,3
"434",0,"3","male","10-19",7.12,2
"435",0,"1","male","40-49",27.95,3
"436",1,"1","female","10-19",30,5
"437",0,"3","female","20-29",8.59,6
"438",1,"2","female","20-29",6.25,7
"439",0,"1","male","60-69",65.75,7
"440",0,"2","male","30-39",10.5,2
"441",1,"2","female","40-49",8.75,4
"442",0,"3","male","10-19",9.5,2
"443",0,"3","male","20-29",7.78,3
"444",1,"2","female","20-29",13,2
"445",1,"3","male","30-39",8.11,2
"446",1,"1","male","0-9",81.86,4
"447",1,"2","female","10-19",9.75,3
"448",1,"1","male","30-39",26.55,2
"449",1,"3","female","0-9",4.81,5
"450",1,"1","male","50-59",30.5,2
"451",0,"2","male","30-39",9.25,5
"452",0,"3","male","30-39",19.97,3
"453",0,"1","male","20-29",27.75,2
"454",1,"1","male","40-49",44.55,3
"455",0,"3","male","30-39",8.05,2
"456",1,"3","male","20-29",7.9,2
"457",0,"1","male","60-69",26.55,2
"458",1,"1","female","30-39",51.86,3
"459",1,"2","female","40-49",10.5,2
"460",0,"3","male","30-39",7.75,2
"461",1,"1","male","40-49",26.55,2
"462",0,"3","male","30-39",8.05,2
"463",0,"1","male","40-49",38.5,2
"464",0,"2","male","40-49",13,2
"465",0,"3","male","30-39",8.05,2
"466",0,"3","male","30-39",7.05,2
"467",0,"2","male","30-39",0,2
"468",0,"1","male","50-59",26.55,2
"469",0,"3","male","30-39",7.72,2
"470",1,"3","female","0-9",4.81,5
"471",0,"3","male","30-39",7.25,2
"472",0,"3","male","30-39",8.66,2
"473",1,"2","female","30-39",9.25,5
"474",1,"2","female","20-29",13.79,2
"475",0,"3","female","20-29",9.84,2
"476",0,"1","male","30-39",26,2
"477",0,"2","male","30-39",10.5,3
"478",0,"3","male","20-29",7.05,3
"479",0,"3","male","20-29",7.52,2
"480",1,"3","female","0-9",12.29,3
"481",0,"3","male","0-9",7.82,9
"482",0,"2","male","30-39",0,2
"483",0,"3","male","40-49",8.05,2
"484",1,"3","female","60-69",9.59,2
"485",1,"1","male","20-29",45.54,3
"486",0,"3","female","20-29",6.37,6
"487",1,"1","female","30-39",45,3
"488",0,"1","male","50-59",29.7,2
"489",0,"3","male","20-29",8.05,2
"490",1,"3","male","0-9",7.95,4
"491",0,"3","male","30-39",19.97,3
"492",0,"3","male","20-29",7.25,2
"493",0,"1","male","50-59",30.5,2
"494",0,"1","male","70-80",49.5,2
"495",0,"3","male","20-29",8.05,2
"496",0,"3","male","30-39",7.23,2
"497",1,"1","female","50-59",39.13,3
"498",0,"3","male","30-39",15.1,2
"499",0,"1","female","20-29",37.89,5
"500",0,"3","male","20-29",7.8,2
"501",0,"3","male","10-19",8.66,2
"502",0,"3","female","20-29",7.75,2
"503",0,"3","female","20-29",7.63,2
"504",0,"3","female","30-39",9.59,2
"505",1,"1","female","10-19",28.83,2
"506",0,"1","male","10-19",54.45,3
"507",1,"2","female","30-39",13,4
"508",1,"1","male","30-39",26.55,2
"509",0,"3","male","20-29",22.52,2
"510",1,"3","male","20-29",8.07,2
"511",1,"3","male","20-29",7.75,2
"512",0,"3","male","30-39",8.05,2
"513",1,"1","male","30-39",26.29,2
"514",1,"1","female","50-59",59.4,3
"515",0,"3","male","20-29",7.5,2
"516",0,"1","male","40-49",34.02,2
"517",1,"2","female","30-39",10.5,2
"518",0,"3","male","30-39",8.05,2
"519",1,"2","female","30-39",26,3
"520",0,"3","male","30-39",7.9,2
"521",1,"1","female","20-29",46.75,2
"522",0,"3","male","20-29",7.9,2
"523",0,"3","male","30-39",7.22,2
"524",1,"1","female","40-49",28.99,3
"525",0,"3","male","30-39",7.23,2
"526",0,"3","male","40-49",7.75,2
"527",1,"2","female","40-49",10.5,2
"528",0,"1","male","30-39",221.78,2
"529",0,"3","male","30-39",7.92,2
"530",0,"2","male","20-29",11.5,5
"531",1,"2","female","0-9",13,4
"532",0,"3","male","30-39",7.23,2
"533",0,"3","male","10-19",7.23,4
"534",1,"3","female","30-39",11.18,4
"535",0,"3","female","20-29",8.66,2
"536",1,"2","female","0-9",8.75,4
"537",0,"1","male","40-49",26.55,2
"538",1,"1","female","20-29",53.21,2
"539",0,"3","male","30-39",14.5,2
"540",1,"1","female","20-29",49.5,4
"541",1,"1","female","30-39",35.5,4
"542",0,"3","female","0-9",4.47,8
"543",0,"3","female","10-19",4.47,8
"544",1,"2","male","30-39",13,3
"545",0,"1","male","40-49",53.21,3
"546",0,"1","male","60-69",26,2
"547",1,"2","female","10-19",13,3
"548",1,"2","male","30-39",13.86,2
"549",0,"3","male","30-39",6.84,4
"550",1,"2","male","0-9",18.38,4
"551",1,"1","male","10-19",27.72,4
"552",0,"2","male","20-29",26,2
"553",0,"3","male","30-39",7.83,2
"554",1,"3","male","20-29",7.22,2
"555",1,"3","female","20-29",7.78,2
"556",0,"1","male","60-69",26.55,2
"557",1,"1","female","40-49",39.6,3
"558",0,"1","male","30-39",56.88,2
"559",1,"1","female","30-39",26.55,4
"560",1,"3","female","30-39",17.4,3
"561",0,"3","male","30-39",7.75,2
"562",0,"3","male","30-39",7.9,2
"563",0,"2","male","20-29",13.5,2
"564",0,"3","male","30-39",8.05,2
"565",0,"3","female","20-29",8.05,2
"566",0,"3","male","20-29",12.07,4
"567",0,"3","male","10-19",7.9,2
"568",0,"3","female","20-29",5.27,6
"569",0,"3","male","30-39",7.23,2
"570",1,"3","male","30-39",7.85,2
"571",1,"2","male","60-69",10.5,2
"572",1,"1","female","50-59",51.48,4
"573",1,"1","male","30-39",26.39,2
"574",1,"3","female","20-29",7.75,2
"575",0,"3","male","10-19",8.05,2
"576",0,"3","male","10-19",7.25,2
"577",1,"2","female","30-39",13,2
"578",1,"1","female","30-39",27.95,3
"579",0,"3","female","30-39",14.46,3
"580",1,"3","male","30-39",7.92,2
"581",1,"2","female","20-29",30,4
"582",1,"1","female","30-39",27.72,4
"583",0,"2","male","50-59",13,2
"584",0,"1","male","30-39",40.12,2
"585",0,"3","male","30-39",8.71,2
"586",1,"1","female","10-19",26.55,4
"587",0,"2","male","40-49",15,2
"588",1,"1","male","50-59",79.2,4
"589",0,"3","male","20-29",8.05,2
"590",0,"3","male","30-39",8.05,2
"591",0,"3","male","30-39",7.12,2
"592",1,"1","female","50-59",39.13,3
"593",0,"3","male","40-49",7.25,2
"594",0,"3","female","20-29",7.75,4
"595",0,"2","male","30-39",26,3
"596",0,"3","male","30-39",8.05,4
"597",1,"2","female","20-29",11,2
"598",0,"3","male","40-49",0,2
"599",0,"3","male","30-39",7.22,2
"600",1,"1","male","40-49",28.46,3
"601",1,"2","female","20-29",13.5,5
"602",0,"3","male","30-39",7.9,2
"603",0,"1","male","30-39",42.4,2
"604",0,"3","male","40-49",8.05,2
"605",1,"1","male","30-39",26.55,2
"606",0,"3","male","30-39",15.55,3
"607",0,"3","male","20-29",7.9,2
"608",1,"1","male","20-29",30.5,2
"609",1,"2","female","20-29",13.86,5
"610",1,"1","female","30-39",51.15,2
"611",0,"3","female","30-39",4.47,8
"612",0,"3","male","30-39",7.05,2
"613",1,"3","female","20-29",7.75,3
"614",0,"3","male","30-39",7.75,2
"615",0,"3","male","30-39",8.05,2
"616",1,"2","female","20-29",32.5,5
"617",0,"3","male","30-39",7.2,4
"618",0,"3","female","20-29",8.05,3
"619",1,"2","female","0-9",19.5,5
"620",0,"2","male","20-29",10.5,2
"621",0,"3","male","20-29",7.23,3
"622",1,"1","male","40-49",52.55,3
"623",1,"3","male","10-19",7.87,4
"624",0,"3","male","20-29",7.85,2
"625",0,"3","male","20-29",8.05,2
"626",0,"1","male","60-69",32.32,2
"627",0,"2","male","50-59",12.35,2
"628",1,"1","female","20-29",25.99,2
"629",0,"3","male","20-29",7.9,2
"630",0,"3","male","30-39",7.73,2
"631",1,"1","male","70-80",30,2
"632",0,"3","male","50-59",7.05,2
"633",1,"1","male","30-39",30.5,2
"634",0,"1","male","30-39",0,2
"635",0,"3","female","0-9",4.65,7
"636",1,"2","female","20-29",13,2
"637",0,"3","male","30-39",7.92,2
"638",0,"2","male","30-39",8.75,4
"639",0,"3","female","40-49",6.61,7
"640",0,"3","male","30-39",8.05,3
"641",0,"3","male","10-19",7.85,2
"642",1,"1","female","20-29",34.65,2
"643",0,"3","female","0-9",4.65,7
"644",1,"3","male","30-39",8.07,2
"645",1,"3","female","0-9",4.81,5
"646",1,"1","male","40-49",25.58,3
"647",0,"3","male","10-19",7.9,2
"648",1,"1","male","50-59",35.5,2
"649",0,"3","male","30-39",7.55,2
"650",1,"3","female","20-29",7.55,2
"651",0,"3","male","30-39",7.9,2
"652",1,"2","female","10-19",11.5,3
"653",0,"3","male","20-29",8.43,2
"654",1,"3","female","20-29",7.83,2
"655",0,"3","female","10-19",6.75,2
"656",0,"2","male","20-29",14.7,4
"657",0,"3","male","30-39",7.9,2
"658",0,"3","female","30-39",7.75,4
"659",0,"2","male","20-29",13,2
"660",0,"1","male","50-59",37.76,4
"661",1,"1","male","40-49",66.83,4
"662",0,"3","male","30-39",7.22,2
"663",0,"1","male","40-49",25.59,2
"664",0,"3","male","30-39",7.5,2
"665",1,"3","male","10-19",7.92,3
"666",0,"2","male","30-39",14.7,4
"667",0,"2","male","20-29",13,2
"668",0,"3","male","30-39",7.78,2
"669",0,"3","male","40-49",8.05,2
"670",1,"1","female","30-39",26,3
"671",1,"2","female","30-39",19.5,4
"672",0,"1","male","30-39",52,3
"673",0,"2","male","60-69",10.5,2
"674",1,"2","male","30-39",13,2
"675",0,"2","male","30-39",0,2
"676",0,"3","male","10-19",7.78,2
"677",0,"3","male","20-29",8.05,2
"678",1,"3","female","10-19",9.84,2
"679",0,"3","female","40-49",7.82,9
"680",1,"1","male","30-39",170.78,3
"681",0,"3","female","20-29",8.14,2
"682",1,"1","male","20-29",25.58,2
"683",0,"3","male","10-19",9.22,2
"684",0,"3","male","10-19",7.82,9
"685",0,"2","male","50-59",19.5,4
"686",0,"2","male","20-29",13.86,5
"687",0,"3","male","10-19",6.61,7
"688",0,"3","male","10-19",10.17,2
"689",0,"3","male","10-19",7.8,2
"690",1,"1","female","10-19",70.45,3
"691",1,"1","male","30-39",28.5,3
"692",1,"3","female","0-9",13.42,3
"693",1,"3","male","30-39",8.07,2
"694",0,"3","male","20-29",7.22,2
"695",0,"1","male","50-59",26.55,2
"696",0,"2","male","50-59",13.5,2
"697",0,"3","male","40-49",8.05,2
"698",1,"3","female","20-29",7.73,2
"699",0,"1","male","40-49",27.72,4
"700",0,"3","male","40-49",7.65,2
"701",1,"1","female","10-19",56.88,3
"702",1,"1","male","30-39",26.29,2
"703",0,"3","female","10-19",7.23,3
"704",0,"3","male","20-29",7.74,2
"705",0,"3","male","20-29",7.85,3
